Crash_Ref_Number,Crash_Severity,Crash_Month,Crash_Month_Num,Crash_Day_Of_Week,Crash_Day_Num,Crash_Hour,Crash_Nature,Crash_Type,Crash_Latitude,Crash_Longitude,Loc_Post_Code,Crash_Speed_Limit,Crash_Road_Surface_Condition,Crash_Atmospheric_Condition,Crash_Lighting_Condition,Crash_Road_Horiz_Align,Crash_Road_Vert_Align,Count_Unit_Car,DCA_Code,DCA_Description
242171,Hospitalisation,August,8,Tuesday,2,12,Rear-end,Multi-Vehicle,-27.57026844,152.965153,4076,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,04,Rear-end
242510,Medical treatment,July,7,Wednesday,3,6,Rear-end,Multi-Vehicle,-27.29851944,153.0173011,4036,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,3,05,Lane Change
276189,Hospitalisation,May,5,Thursday,4,8,Angle,Multi-Vehicle,-27.33857744,153.0100941,4034,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,05,Lane Change
279125,Hospitalisation,August,8,Monday,1,16,Rear-end,Multi-Vehicle,-27.34553045,153.076981,4034,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,4,04,Rear-end
279140,Medical treatment,August,8,Friday,5,10,Rear-end,Multi-Vehicle,-27.50890745,153.038756,4120,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,2,04,Rear-end
279145,Medical treatment,September,9,Tuesday,2,13,Rear-end,Multi-Vehicle,-27.62803147,153.236792,4165,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,2,04,Rear-end
279275,Hospitalisation,June,6,Thursday,4,23,Overturned,Single Vehicle,-27.52469946,153.124905,4153,80 - 90 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Dip,1,15,Off Carriageway on Straight
279337,Medical treatment,September,9,Wednesday,3,6,Sideswipe,Multi-Vehicle,-27.56597245,153.083303,4109,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,05,Lane Change
279360,Medical treatment,September,9,Thursday,4,16,Sideswipe,Multi-Vehicle,-27.54763844,152.941475,4074,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,1,05,Lane Change
279523,Hospitalisation,October,10,Friday,5,22,Sideswipe,Multi-Vehicle,-27.52892045,153.056908,4121,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,1,05,Lane Change
